Typ,Alter,Einkommen,Preis,Geschlecht,Zeit,KundeNR,Niederlassung
Kunde,64,66894.0,88160.31,1,43.0,K0310,Bayern
Kunde,54,77644.0,103145.7,1,40.0,K1042,Berlin
Kunde,55,44341.0,80565.16,0,37.0,K0382,Baden-Württemberg
Kunde,49,67271.0,83949.89,0,42.0,K0498,Bayern
Kunde,46,49832.0,93781.58,0,41.0,K0552,Hessen
Kunde,59,62970.0,83862.47,1,56.0,K0833,Hessen
Kunde,36,23660.0,49960.18,1,23.0,K0097,Thüringen
Kunde,50,62422.0,94530.65,1,38.0,K0290,Thüringen
Kunde,32,34112.0,62280.35,1,36.0,K0950,Bayern
Kunde,62,77546.0,124857.23,1,52.0,K0102,Baden-Württemberg
Kunde,68,77662.0,118227.18,1,54.0,K1098,Thüringen
Kunde,45,68432.0,82849.76,0,39.0,K0071,Berlin
Kunde,51,37169.0,57319.84,0,31.0,K1023,Sachsen
Kunde,65,78613.0,114603.28,1,50.0,K0482,Baden-Württemberg
Kunde,53,69721.0,98479.34,1,54.0,K0440,Hessen
Kunde,62,62350.0,84761.44,1,42.0,K0877,Hessen
Kunde,34,57844.0,62302.49,1,54.0,K0295,Nordrhein-Westfalen
Kunde,55,44222.0,78218.77,1,37.0,K0329,Bayern
Kunde,53,74381.0,120881.72,0,57.0,K0433,Nordrhein-Westfalen
Kunde,57,45095.0,77157.15,0,42.0,K0142,Baden-Württemberg
Kunde,43,52813.0,67106.32,0,44.0,K0762,Berlin
Kunde,46,49340.0,69960.66,0,47.0,K0459,Nordrhein-Westfalen
Kunde,62,89774.0,117051.99,1,72.0,K0865,Sachsen
Kunde,55,66861.0,97465.12,0,54.0,K1001,Bayern
Kunde,66,84822.0,118968.62,0,56.0,K0889,Hessen
Kunde,59,91693.0,121840.18,1,52.0,K0917,Bayern
Kunde,67,61517.0,80799.11,0,43.0,K0537,Niedersachsen
Kunde,66,78548.0,121289.35,0,69.0,K0362,Sachsen
Kunde,40,61386.0,81555.07,0,53.0,K0856,Niedersachsen
Kunde,41,45016.0,65106.71,0,39.0,K0399,Niedersachsen
Kunde,30,39302.0,71437.17,1,35.0,K0448,Baden-Württemberg
Kunde,65,83431.0,119640.51,1,65.0,K0210,Baden-Württemberg
Kunde,48,46259.0,73400.97,1,29.0,K0502,Baden-Württemberg
Kunde,53,56160.0,93839.56,1,38.0,K0782,Nordrhein-Westfalen
Kunde,37,47689.0,73619.96,0,20.0,K0912,Hessen
Kunde,55,56264.0,83364.29,1,40.0,K0412,Baden-Württemberg
Kunde,34,27844.0,41694.48,0,36.0,K0690,Bayern
Kunde,43,72619.0,94619.66,1,56.0,K0698,Berlin
Kunde,57,51842.0,70527.14,0,51.0,K0045,Sachsen
Kunde,39,16051.0,24654.09,0,29.0,K0535,Hamburg
Kunde,55,63325.0,89117.31,0,46.0,K0766,Berlin
Kunde,58,64638.0,98621.47,1,46.0,K0335,Bayern
Kunde,44,54514.0,80645.05,1,53.0,K0695,Hessen
Kunde,39,44538.0,74086.48,0,40.0,K0603,Bayern
Kunde,65,96471.0,145684.18,1,55.0,K0520,Nordrhein-Westfalen
Kunde,36,35235.0,67764.25,1,22.0,K0468,Nordrhein-Westfalen
Kunde,36,41489.0,63321.68,1,47.0,K1047,Baden-Württemberg
Kunde,70,77553.0,119128.85,1,58.0,K0619,Bayern
Kunde,62,62829.0,96175.78,1,42.0,K0449,Baden-Württemberg
Kunde,50,67714.0,90616.13,0,55.0,K0919,Hessen
Kunde,69,73444.0,115561.62,1,47.0,K0052,Niedersachsen
Kunde,52,49778.0,72763.75,1,44.0,K0732,Thüringen
Kunde,46,61088.0,117616.31,1,48.0,K0622,Berlin
Kunde,40,61057.0,77084.28,0,47.0,K0735,Baden-Württemberg
Kunde,35,52067.0,67345.58,1,44.0,K0199,Berlin
Kunde,58,64180.0,98148.01,1,51.0,K0057,Baden-Württemberg
Kunde,41,39630.0,80659.67,1,41.0,K0507,Bayern
Kunde,46,67665.0,83620.57,0,50.0,K0299,Berlin
Kunde,40,43103.0,77219.0,0,33.0,K0531,Berlin
Kunde,35,39813.0,60757.87,0,31.0,K0998,Niedersachsen
Kunde,40,45448.0,70066.79,0,40.0,K0193,Baden-Württemberg
Kunde,61,90246.0,111436.45,0,61.0,K0139,Bayern
Kunde,65,60323.0,90362.92,1,47.0,K0588,Niedersachsen
Kunde,57,70535.0,88743.79,1,46.0,K0406,Nordrhein-Westfalen
Kunde,64,76331.0,108153.91,1,52.0,K0630,Baden-Württemberg
Kunde,53,57988.0,114801.87,1,45.0,K0713,Nordrhein-Westfalen
Kunde,35,58838.0,81539.66,1,47.0,K1056,Sachsen
Kunde,68,89783.0,138190.26,1,73.0,K0957,Baden-Württemberg
Kunde,64,69256.0,110341.3,1,47.0,K0110,Berlin
Kunde,46,47284.0,62114.5,0,46.0,K0278,Niedersachsen
Kunde,66,63799.0,109159.01,1,48.0,K0032,Brandenburg
Kunde,40,47192.0,72220.0,0,48.0,K0087,Sachsen
Kunde,41,42992.0,65811.72,1,38.0,K0454,Bayern
Kunde,37,45503.0,50836.91,1,35.0,K0089,Nordrhein-Westfalen
Kunde,51,66908.0,93021.39,1,65.0,K0108,Bayern
Kunde,38,34983.0,39236.62,0,33.0,K0333,Hamburg
